east,north,depth,EVENT_ID,strike,dip,rake,slip_m,point_index
-145783.91630729416,3340920.485588881,33.0,665385,274.0,7.0,79.0,0.05568747040302994,665385
550317.779532522,2957849.1130615794,24.0,663769,179.0,34.0,-82.0,0.003513641844631528,663769
651905.627526483,3375921.827986554,33.0,651572,180.0,51.0,-95.0,0.31315365902938197,651572
-4458.257139896217,3341437.570948516,33.0,644075,28.0,36.0,-51.0,0.004963151023899577,644075
-57968.13911399862,3258383.542062967,34.0,642635,98.0,65.0,90.0,0.01975866011154356,642635
-72618.3324077098,3288856.2495445237,18.0,642643,290.0,21.0,91.0,0.6248236946559426,642643
-72618.3324077098,3288856.2495445237,16.0,642643,266.0,26.0,75.0,0.31315365902938197,642643
673230.7802097126,3031294.4504090697,17.0,635740,301.0,89.0,-141.0,0.22169581277431902,635740
769936.9519843451,3414059.573129708,33.0,606038,7.0,64.0,-64.0,0.01975866011154356,606038
1280948.7167573306,2833103.4984616167,62.0,571147,161.0,65.0,159.0,0.03942370991484183,571147
508799.530837567,3163673.6678418135,81.4,505384,38.0,78.0,-45.0,0.004963151023899577,505384
922420.9627410457,2759260.6294668177,18.0,504044,70.0,90.0,40.0,0.009902788201486006,504044
1203807.87740003,2736231.826134817,75.3,467270,163.0,77.0,-158.0,0.22169581277431902,467270
186223.72134585865,3245555.0229855003,34.0,459395,178.0,83.0,-133.0,0.027909849238995057,459395
823928.5434717346,3264707.700077091,15.0,458408,21.0,45.0,-90.0,0.003513641844631528,458408
1261778.9715074205,3322728.7895867894,33.0,448794,135.0,71.0,23.0,0.007010637160891007,448794
461818.97863492765,2959357.308574627,44.0,429573,312.0,82.0,-144.0,1.7609924360678937,429573
464131.9910516486,2933322.9456612235,34.7,429573,230.0,23.0,2.0,1.7609924360678937,429573
374428.3328341747,3030272.8385048606,18.0,424138,309.0,30.0,109.0,0.007010637160891007,424138
802742.0935529262,3294080.4724505143,15.0,411851,313.0,82.0,-166.0,0.013988060131046304,411851
1288715.045089027,2804497.452886708,85.3,406433,71.0,81.0,-8.0,0.027909849238995057,406433
787137.6722762499,3182724.6657302864,15.0,406840,330.0,43.0,-119.0,0.004963151023899577,406840
-288396.5767882017,3434308.212912109,19.0,317038,115.0,85.0,52.0,1.7609924360678937,317038
-344642.28668393486,3375822.990497427,15.0,317038,112.0,78.0,84.0,1.7609924360678937,317038
806408.6773804548,3276868.8446588702,10.0,284914,251.0,48.0,-116.0,0.15694861606919447,284914
820078.3703120223,3263487.974208327,15.0,284914,10.0,42.0,-94.0,0.15694861606919447,284914
815349.4156020993,3361023.712338304,15.0,253484,161.0,51.0,-121.0,0.07866064270934865,253484
562414.4914001271,3193751.1806865227,15.0,244089,161.0,46.0,-121.0,0.22169581277431902,244089
534080.2413472395,3211359.8794369567,26.6,244126,357.0,75.0,-86.0,0.004963151023899577,244126
1055717.3070749957,3052204.066191309,35.0,120109,226.0,84.0,-44.0,0.013988060131046304,120109
1045468.9309841379,3188642.2331160544,83.0,968595,12.0,23.0,-117.0,0.007010637160891007,968595
614511.0125042899,3335671.0998713216,5.0,973371,7.0,49.0,-72.0,0.027909849238995057,973371
627609.2600678013,3294029.876379137,15.0,973371,8.0,46.0,-78.0,0.027909849238995057,973371
614868.8712780079,3310515.8093320075,33.0,973400,347.0,63.0,-94.0,0.003513641844631528,973400
661497.5384283417,3291143.554837736,15.0,978153,150.0,70.0,-115.0,0.013988060131046304,978153
-125465.15633540088,3319226.770075656,14.0,1005021,101.0,75.0,112.0,0.013988060131046304,1005021
-151605.0234196639,3274430.130379035,15.0,1005021,279.0,19.0,68.0,0.01975866011154356,1005021
342574.90125067,3164729.3125931825,33.0,1050533,178.0,61.0,-102.0,0.01975866011154356,1050533
612984.7775816183,3334214.4578436194,5.0,1167690,181.0,43.0,-111.0,0.03942370991484183,1167690
642027.0521966494,3300854.6323636607,15.0,1167690,187.0,59.0,-95.0,0.03942370991484183,1167690
644781.3202192335,3311974.548948509,15.7,1167969,214.0,47.0,-90.0,0.003513641844631528,1167969
606879.009371491,3328057.7002241127,11.0,1178729,24.0,64.0,-53.0,0.027909849238995057,1178729
626529.0358766109,3303992.633754938,15.0,1178729,162.0,48.0,-112.0,0.05568747040302994,1178729
635888.9047074439,3328488.2097977675,15.0,1179437,199.0,45.0,-90.0,0.003513641844631528,1179437
1150520.5580467875,3100366.8381526223,33.0,1206983,233.0,26.0,118.0,0.003513641844631528,1206983
620997.3070357747,3279548.3336969865,33.0,1207628,345.0,60.0,-76.0,0.004963151023899577,1207628
654496.3837791928,3307671.739658499,33.0,1310080,191.0,62.0,-97.0,0.007010637160891007,1310080
-229964.01896680892,3400182.5981342276,15.0,1547491,287.0,13.0,90.0,,1547491
-229964.01896680892,3400182.5981342276,15.0,1547491,257.0,10.0,57.0,0.6248236946559426,1547491
-229964.01896680892,3400182.5981342276,15.0,1547491,208.0,51.0,16.0,,1547491
-249582.1452227867,3386764.5746154794,15.0,1547491,115.0,83.0,92.0,0.6248236946559426,1547491
990246.7630794372,2871540.9446422867,33.0,1642898,149.0,79.0,158.0,0.007010637160891007,1642898
-8685.122551300447,3287106.9954945645,15.0,2379218,104.0,87.0,92.0,0.01975866011154356,2379218
-37581.974381630076,3210535.4849769766,15.0,2408305,119.0,64.0,99.0,0.013988060131046304,2408305
-33427.27684898826,3397918.2048992645,33.0,3166176,157.0,44.0,-137.0,0.01975866011154356,3166176
-54314.371675802395,3347182.053806513,15.0,3166176,159.0,49.0,-130.0,0.027909849238995057,3166176
780051.7324031626,2980696.457942778,55.8,6621514,40.0,70.0,-21.0,0.013988060131046304,6621514
181192.5071396004,3400419.8120708745,13.0,7370445,175.0,45.0,-90.0,,7370445
181192.5071396004,3400419.8120708745,13.0,7370445,162.0,45.0,-103.0,0.22169581277431902,7370445
191117.82719315647,3385256.4797381195,13.0,7370445,156.0,47.0,-106.0,0.22169581277431902,7370445
176025.84452661278,3362386.876704954,13.7,7376904,154.0,49.0,-115.0,0.003513641844631528,7376904
1297281.1833674656,2848602.1577536394,83.0,7485028,151.0,65.0,176.0,0.007010637160891007,7485028
593339.7220822523,3106428.6917559383,69.6,7485471,200.0,89.0,28.0,0.0012466871714466297,7485471
179565.713497533,3377933.6876446838,11.0,7490848,170.0,45.0,-90.0,,7490848
179565.713497533,3377933.6876446838,11.0,7490848,175.0,46.0,-84.0,0.22169581277431902,7490848
189144.60108453903,3349795.5271511846,12.0,7490848,351.0,47.0,-89.0,0.31315365902938197,7490848
185294.61478712183,3383204.6238619736,19.1,7490875,189.0,34.0,-54.0,0.013988060131046304,7490875
188213.31458783319,3350931.938676631,19.6,7491074,349.0,46.0,-96.0,0.003513641844631528,7491074
1244800.4434954412,3218832.4850807358,25.8,7141165,95.0,85.0,90.0,,7141165
1244800.4434954412,3218832.4850807358,25.8,7141165,193.0,8.0,14.0,0.03942370991484183,7141165
1254527.64086462,3211527.417284285,19.0,7141165,93.0,87.0,95.0,0.05568747040302994,7141165
-55504.713609303464,3264832.3336693808,47.0,7704989,100.0,87.0,39.0,0.0012466871714466297,7704989
292265.8765293935,3141125.352564955,22.5,7705025,291.0,48.0,84.0,0.0012466871714466297,7705025
-288360.23439815687,3360409.2667193757,34.2,7996742,117.0,67.0,92.0,0.004963151023899577,7996742
-145581.48438724666,3344367.3106737994,30.7,8079722,41.0,59.0,-43.0,0.0012466871714466297,8079722
470219.58196609013,2979825.041711473,30.9,8079775,279.0,30.0,91.0,0.0012466871714466297,8079775
662408.0576600663,3011866.0076105767,19.2,8083798,287.0,27.0,126.0,0.009902788201486006,8083798
990874.017749865,2986060.000295812,12.0,8096195,229.0,84.0,-18.0,0.013988060131046304,8096195
967482.4803028544,2985389.062652471,10.0,8096195,315.0,86.0,-177.0,0.05568747040302994,8096195
654470.7342167178,3012872.639726436,13.6,12659257,204.0,58.0,-4.0,0.0024874679317426,12659257
161803.91619372467,3369480.8209612835,19.2,13392603,158.0,41.0,-114.0,0.004963151023899577,13392603
186300.43810816627,3417585.9428793713,23.7,13392607,225.0,68.0,-19.0,0.003513641844631528,13392607
166231.2834310248,3388217.541234074,17.9,13392887,171.0,39.0,-90.0,0.0024874679317426,13392887
181119.4644838748,3404418.276932267,22.2,13393006,303.0,76.0,-163.0,0.003513641844631528,13393006
-152219.96696138603,3346991.146920297,22.9,13393413,333.0,59.0,-163.0,0.003513641844631528,13393413
185147.54478243476,3410959.5405649496,20.3,13393942,298.0,79.0,-166.0,0.009902788201486006,13393942
178112.0690957122,3400067.646293517,19.6,13393944,317.0,68.0,-163.0,0.013988060131046304,13393944
163954.52717670368,3416711.634663677,4.0,13395135,193.0,60.0,6.0,,13395135
163954.52717670368,3416711.634663677,4.0,13395135,297.0,86.0,-165.0,0.05568747040302994,13395135
182806.48403235484,3396597.837997184,21.2,13395135,302.0,77.0,-165.0,0.11111111111111095,13395135
152211.38462449086,3429747.0936788176,10.0,13395135,299.0,69.0,169.0,0.07866064270934865,13395135
184919.32489077537,3403195.9314072304,23.2,13395203,204.0,62.0,-12.0,0.0024874679317426,13395203
823817.1023490728,3302108.735307039,12.0,13396168,35.0,45.0,-67.0,0.15694861606919447,13396168
838819.9372996248,3286236.6732369107,12.0,13396168,44.0,48.0,-55.0,0.31315365902938197,13396168
811765.4822535729,3317635.1427295627,10.0,13396168,180.0,48.0,-119.0,0.31315365902938197,13396168
842064.0436136555,3275234.012850183,13.6,13396198,33.0,54.0,-64.0,0.007010637160891007,13396198
821849.4791104824,3296502.0360601363,9.0,13396405,210.0,60.0,-90.0,,13396405
821849.4791104824,3296502.0360601363,9.0,13396405,33.0,45.0,-86.0,0.013988060131046304,13396405
845257.8406752942,3297535.3111984576,14.7,13396405,69.0,62.0,-25.0,0.01975866011154356,13396405
16732.250991081295,3290430.931382588,19.5,12076333,230.0,62.0,-17.0,0.009902788201486006,12076333
207043.1687533774,3370386.0214294842,20.0,11682850,115.0,87.0,158.0,0.004963151023899577,11682850
445578.2428228535,3428633.0687433104,31.9,12938999,218.0,76.0,-9.0,0.0024874679317426,12938999
939173.2069213095,3031026.0596826486,14.0,13788745,12.0,4.0,-173.0,0.15694861606919447,13788745
936584.077302193,3028490.003739243,15.0,13788745,89.0,86.0,88.0,,13788745
958843.5066454558,3017073.7305928543,12.0,13788745,281.0,6.0,94.0,0.15694861606919447,13788745
888247.2348515678,2988016.976245765,22.0,13788745,101.0,83.0,91.0,0.15694861606919447,13788745
169042.2791406107,3385910.546294359,21.1,16105857,144.0,65.0,-142.0,0.003513641844631528,16105857
957851.2237695523,3017037.03697067,15.1,13911850,96.0,83.0,88.0,0.004963151023899577,13911850
403835.9816068157,3262685.234321422,5.7,13921043,206.0,41.0,-68.0,0.013988060131046304,13921043
430081.350212744,3242546.819394573,18.8,13921043,178.0,43.0,-92.0,0.01975866011154356,13921043
416739.19564730127,3276988.338655915,10.0,13921043,194.0,48.0,-76.0,0.013988060131046304,13921043
184529.18531869282,3389887.0177489608,18.9,13946918,115.0,46.0,-136.0,0.003513641844631528,13946918
203199.2971659195,3370490.4386318526,16.4,14212626,207.0,71.0,10.0,0.007010637160891007,14212626
477471.95758234034,3142643.0434186356,84.5,14335107,12.0,69.0,-16.0,0.004963151023899577,14335107
20047.971752348065,3388171.2410362954,22.5,14409376,202.0,76.0,-19.0,0.0024874679317426,14409376
-146943.34918290505,3287548.399146468,14.1,14883226,318.0,25.0,140.0,0.003513641844631528,14883226
841318.9474469004,3299634.339846657,20.8,15678238,199.0,49.0,-59.0,0.009902788201486006,15678238
474202.625019354,3420767.2126592915,27.0,15895688,9.0,59.0,-73.0,0.004963151023899577,15895688
-110730.98831253417,3272141.732518343,18.8,601129074,96.0,67.0,70.0,0.013988060131046304,601129074
-104841.42756372155,3301696.4347630176,26.1,601129074,98.0,46.0,69.0,,601129074
595786.0840741146,3045514.628891252,60.0,17238846,308.0,86.0,-164.0,2.4874679317425996,17238846
633422.4145042963,3035895.2424779763,46.0,17238846,310.0,79.0,-162.0,2.4874679317425996,17238846
613848.7145031475,3067827.664762557,50.0,17238846,219.0,75.0,-5.0,,17238846
614005.8141779219,3103283.887273498,35.0,17238846,220.0,78.0,0.0,2.4874679317425996,17238846
1103230.132511084,2909656.96626526,46.1,601002723,336.0,84.0,173.0,0.013988060131046304,601002723
1089119.1248529023,2908450.3424227796,43.3,601002723,71.0,87.0,8.0,0.013988060131046304,601002723
171334.40467360883,3398052.5003754897,20.3,601036816,317.0,75.0,-138.0,0.0017609924360678943,601036816
1274307.0302096093,2853054.9759411756,58.0,601224672,252.0,83.0,7.0,0.027909849238995057,601224672
1277688.642079875,2854146.8803904755,49.6,601224672,238.0,86.0,12.0,0.027909849238995057,601224672
625588.1153735158,3301765.276337345,21.6,601237316,179.0,40.0,-84.0,0.0024874679317426,601237316
1253553.5220463155,2833095.5150981043,52.1,601273351,242.0,73.0,14.0,0.007010637160891007,601273351
1250670.3434053492,2830252.9310091943,41.1,601273351,159.0,80.0,158.0,0.009902788201486006,601273351
627405.9008763542,3311761.160601135,24.8,601456942,332.0,68.0,-112.0,0.003513641844631528,601456942
72263.86437948875,3110386.084504137,28.9,601614687,307.0,21.0,102.0,0.003513641844631528,601614687
1092110.999453134,2975953.7863406003,35.5,601777961,89.0,53.0,44.0,0.0024874679317426,601777961
